"time","AT","BE","DE","DK","ES","FI","FR","GB","IE","IT","LU","NL","NO","PL","RO","SE"
"1980-01-02 00:00:00",11.560268999999998,12.68863,8.525379999999998,2.383414,7.293164,2.9735959999999997,3.3071189999999997,13.478952999999999,1.780003,13.935418000000004,9.443868,11.947306000000005,3.7754320000000003,2.048742,12.972762999999997,3.7279350000000004,
"1980-01-03 00:00:00",6.615427000000001,12.844165000000004,3.3796030000000004,2.0848610000000005,1.1764059999999998,6.878769,4.9897029999999996,7.958361999999998,6.607445,14.360283,10.095629000000002,8.774683000000001,3.074487000000001,3.703221,3.5059769999999997,12.793973,
"1980-01-04 00:00:00",6.316165000000001,8.525249,3.734419,2.466092,5.514897,9.984188,11.012643,13.503476999999998,14.175222999999999,16.445623,4.403925,6.291258999999999,10.840554000000001,5.528918999999999,13.966782,11.548528,
"1980-01-05 00:00:00",1.2182039999999998,9.982410000000002,12.473210999999996,16.284167999999998,9.373857999999998,3.508843,12.508538000000003,12.788328999999996,11.412012,9.354568,13.229001,10.345453999999998,22.09774,2.3465139999999995,16.051026000000004,7.406149,
"1980-01-06 00:00:00",2.041347,9.143297,5.415036,4.949428,2.6411499999999997,5.408677999999999,12.665544000000002,13.667940999999999,15.060464000000001,3.52907,6.730387,7.366998,20.308175,2.98651,1.733702,14.336752999999996,
"1980-01-07 00:00:00",0.7980769999999999,11.859174999999999,2.311705,12.509754000000003,4.593153999999999,6.121349,9.975237,10.059351000000001,6.723652,11.718389000000002,7.021004,6.825756,15.462495999999998,2.6245259999999995,0.965734,7.662681000000001,
"1980-01-08 00:00:00",0.13121000000000002,3.839519,5.559450999999999,5.638079000000001,7.984368,3.599448,4.015862,6.9055979999999995,5.2310550000000005,12.033725999999998,2.4104330000000003,4.432554,6.009598,1.505694,2.180282,5.019330999999999,
"1980-01-09 00:00:00",0.8819219999999999,1.7514900000000002,2.190609,4.21941,1.620589,1.5518440000000004,3.7226920000000003,5.551550000000001,10.591504,6.145817,2.501112,2.508399,5.739650000000001,0.412992,1.8921020000000002,3.374714,
"1980-01-10 00:00:00",3.026491000000001,3.4402619999999997,1.6172749999999998,4.320341000000002,11.454918,1.8081909999999997,5.479532000000001,7.358281,9.364434000000001,2.4917740000000004,3.9395759999999997,3.028863999999999,10.547430999999998,1.383334,2.5549530000000003,2.3968679999999996,
"1980-01-11 00:00:00",3.5452529999999998,3.2846159999999993,1.068012,2.699889,15.607394999999999,5.155761,8.399307000000002,2.520233,0.825722,1.9886559999999998,8.097375000000001,2.1881720000000002,9.377902,1.6172699999999998,0.3082220000000001,4.409014,
"1980-01-12 00:00:00",2.3343279999999997,3.9722649999999997,1.538337,0.999519,10.164366999999999,2.582272,5.958397000000001,2.45146,2.591885,2.783458,8.325610000000001,2.9077100000000002,7.2917950000000005,2.170766,0.62595,2.9936699999999994,
"1980-01-13 00:00:00",5.385445,10.805717,1.619256,0.238604,20.848085,5.299393999999999,12.718036,2.9558359999999992,0.570616,5.542353999999999,11.557036999999998,6.970674,5.735748,1.543144,0.7669969999999999,1.930047,
"1980-01-14 00:00:00",9.223535000000002,4.023589,1.4605720000000002,8.070553,18.079351000000003,11.470860999999998,5.137411999999999,6.690751,1.997647,2.014809,7.472420999999999,2.758978999999999,12.884699,0.708717,0.20027899999999998,14.537927,
"1980-01-15 00:00:00",2.4306030000000005,1.7547940000000002,5.611371999999999,7.764838000000001,11.458807,13.254855999999997,1.6258609999999998,8.727229000000001,10.141061,12.524111000000001,3.4090819999999997,3.271187,10.780061,8.001659,0.538716,15.931818000000002,
"1980-01-16 00:00:00",4.0036249999999995,2.9543390000000005,1.290974,2.125178000000001,1.9733209999999999,12.509475000000002,6.442109,9.980063000000003,11.459653999999999,15.253963000000004,5.784545,1.798467,9.504544,5.405087999999998,1.1925390000000002,7.539261,
"1980-01-17 00:00:00",7.269419,7.115301999999998,0.57941,0.31039900000000004,14.988722000000001,7.249618000000001,14.043823,4.398077,2.262993,10.56873,14.801677999999999,3.843988,6.454855000000001,1.7728419999999998,0.837545,2.4140239999999995,
"1980-01-18 00:00:00",7.765748000000001,6.193007000000001,0.47564600000000007,1.577853,11.601073999999999,12.944469999999999,8.793861,3.0885940000000005,0.9847640000000002,2.910799,9.167012999999997,3.429776,5.667078999999998,2.0502549999999995,2.232678,8.769633,
"1980-01-19 00:00:00",2.8974729999999997,3.481899,2.3859610000000004,1.623872,5.0070190000000006,14.400912000000002,1.2259300000000002,7.382369000000001,6.1990490000000005,4.7576659999999995,5.644311000000001,3.6464650000000005,3.9394780000000003,2.2963880000000003,1.625029,2.2812219999999996,
"1980-01-20 00:00:00",3.376024,6.152505999999999,3.722228,5.985353999999999,12.24444,4.714771,10.240275999999998,13.051340999999999,10.579744000000002,4.217974,7.325972,5.147578000000001,17.234412,3.0162579999999997,1.2392639999999997,4.90363,
"1980-01-21 00:00:00",2.1433099999999996,5.858297,5.331271999999999,8.967225000000003,14.313085,9.047566000000002,6.185715,11.091373000000003,6.822416,5.601065000000001,6.700501,5.304997999999999,20.692310000000003,3.9116029999999995,1.9560429999999998,15.430122,
"1980-01-22 00:00:00",3.3792599999999995,19.387823,14.245892999999999,14.315771999999999,17.929503,10.433973,20.604806000000004,19.261155000000002,15.433327999999998,4.667103,17.788086,17.546775000000004,21.228618,5.003308999999999,4.318421,14.920278,
"1980-01-23 00:00:00",2.918033,18.455843,15.983088000000002,14.717958,9.784165,6.516597000000002,17.658527,16.23404,15.943885000000002,1.803486,17.880689,17.342754,21.006119999999996,10.533219999999998,4.679071999999999,15.284033999999998,
