"time","BE","DE","DK","EE","ES","FI","FR","GB","GR","IE","IT","LT","NL","NO","PL","PT","SE"
"1980-02-01 00:00:00",247.47323500000002,170.56068199999993,178.10328599999988,205.56060499999995,409.6973980000001,221.06761199999974,265.012382,288.11104199999977,386.55934699999983,282.20037599999984,209.630335,229.1675439999999,220.201039,338.6933790000001,205.10086099999995,360.67778599999986,286.7114390000005,
"1980-03-01 00:00:00",166.9052870000002,155.3742800000001,183.63047800000018,170.00045399999993,301.86567899999994,181.08788800000005,264.49726700000014,225.40622500000006,351.6021809999999,185.11461100000005,106.94891000000004,154.67533999999998,150.78010500000002,332.75273299999986,132.46740199999996,258.8348499999999,199.69770899999983,
"1980-04-01 00:00:00",240.97021000000007,267.46782699999983,300.54678900000005,205.12436199999993,317.37826200000006,191.61093200000028,305.9503449999999,284.432708,326.66895700000026,291.07672399999956,152.14939599999994,302.74767499999996,233.091969,449.0651670000005,264.98068,369.41391100000044,348.24616999999984,
"1980-05-01 00:00:00",202.1631999999999,178.27775500000018,157.810108,120.50874699999989,307.13413600000007,146.51395999999994,252.7661179999999,248.114651,220.83022100000005,167.38003599999996,119.72921699999996,148.1391190000002,215.93297299999998,257.50874799999985,146.70500399999997,264.376214,178.0956929999998,
"1980-06-01 00:00:00",216.57213200000015,106.43424100000006,115.75512899999994,164.4262510000003,305.4027180000004,154.12509100000003,205.65314699999973,222.8799439999999,214.8854300000002,198.5085410000002,124.48441800000012,183.60693000000018,194.10610499999999,199.87376400000005,134.98411100000007,355.91038299999957,195.53412900000018,
"1980-07-01 00:00:00",164.36082100000016,119.59262800000002,147.70482599999985,152.81818199999984,286.47230899999965,159.98538800000003,239.91000300000027,193.2501940000001,192.15292099999996,187.09964100000025,119.82011400000005,161.99605299999993,147.54229600000008,196.80585700000003,148.65157799999986,425.69455599999986,217.97134700000007,
"1980-08-01 00:00:00",211.23489400000017,130.3786239999999,133.61463599999988,127.6275739999999,214.00380599999986,83.61427499999989,221.7312749999999,256.64910699999996,221.51487999999986,224.07526800000014,110.09491599999993,171.57109800000003,190.43944799999977,205.30909199999988,147.04637200000008,360.8110270000002,174.06732099999994,
"1980-09-01 00:00:00",201.1008720000003,190.62548600000014,229.59696300000013,121.02536700000007,157.4080469999998,159.41108599999995,196.88980500000005,241.88507799999977,305.9642059999995,199.691496,98.72065000000003,190.1271360000001,200.037439,311.7525810000003,202.8248520000002,309.841699,232.68396399999992,
"1980-10-01 00:00:00",175.30396400000026,164.7909300000002,197.66334399999985,146.85455099999993,168.8608340000002,154.12648499999992,158.080679,256.55662100000023,258.9271539999999,327.08258399999977,47.232622000000006,178.63615299999992,164.84454600000035,264.77403799999996,180.24405000000021,257.30751700000025,233.57359399999982,
"1980-11-01 00:00:00",311.94503200000014,290.2539539999998,308.0254209999999,286.11794499999945,359.5838480000001,274.0106489999999,290.25160699999986,367.7983289999995,263.21865400000013,357.57470800000016,204.3713079999998,354.135428,305.79465000000016,352.06581700000015,303.558922,285.20205400000003,392.64801100000017,
"1980-12-01 00:00:00",430.2525579999996,360.1750259999999,326.49676300000016,264.85609200000005,395.7116439999999,285.98158699999993,335.33718399999987,467.7779290000001,277.35368500000016,415.6857539999998,204.83708799999994,304.7887530000002,409.24210500000044,283.36189000000013,312.6757820000001,329.7164639999999,374.1278969999999,
"1981-01-01 00:00:00",412.3763019999992,386.5242179999995,385.93144900000027,308.67257100000023,457.0034210000004,267.34485000000006,369.5507259999997,474.7825289999999,384.15831599999984,419.57449799999955,190.6495039999999,399.5994509999999,388.0747539999997,420.43619799999993,386.9280340000001,359.5858229999998,410.5990539999999,
"1981-02-01 00:00:00",327.8909489999997,296.14386500000023,302.16489199999995,303.83603500000066,431.4386980000001,316.0474849999999,355.09577200000024,395.0243440000005,437.4186309999997,375.9212959999999,291.05541600000055,348.6369800000002,315.5077109999998,391.06914800000004,329.09821799999986,340.82263300000034,390.6269200000004,
"1981-03-01 00:00:00",234.09211600000043,237.38583499999973,260.977832,211.74002800000017,291.2571790000002,157.8592540000001,253.42823700000028,298.1336650000001,329.41306500000024,316.18096999999995,121.98605499999992,257.0757289999996,221.17886000000013,315.04460700000004,254.56706600000007,299.37105099999997,292.40431099999955,
"1981-04-01 00:00:00",344.5546549999995,256.3364089999999,271.7607580000002,223.81699599999993,389.8172160000001,240.59918499999972,322.7476729999993,352.6560039999998,286.5300469999997,342.86515500000013,131.1379549999999,274.31479299999995,301.9746559999997,318.8939370000003,255.8840840000001,348.630703,317.95897600000023,
"1981-05-01 00:00:00",196.37001300000014,150.99660200000002,155.89099099999993,193.15310199999996,278.8728159999999,238.9678239999999,200.49951800000062,240.07266100000012,223.84979399999978,202.72776900000005,129.97070999999997,185.85876200000013,185.98795300000012,254.92582899999996,162.747809,318.6022860000001,237.48890899999995,
"1981-06-01 00:00:00",165.0953320000002,167.486759,192.87877900000007,129.35153099999994,359.25539899999944,159.91384700000003,268.83327699999995,240.65117700000005,281.5377620000002,225.4283380000001,102.03226599999994,149.5263320000001,146.25628,297.2005969999998,185.01979299999982,364.7090320000001,248.958711,
"1981-07-01 00:00:00",230.27107800000053,185.37885199999965,188.38447599999978,210.08871999999994,169.16175999999982,227.385954,186.87402800000004,282.11115900000016,220.2076410000003,243.51314999999983,91.54203999999997,212.905301,222.3854780000001,225.92763499999995,187.43130899999997,290.055127,265.3802150000003,
"1981-08-01 00:00:00",148.69204999999994,115.53767700000004,178.11788700000017,150.25727499999996,201.44240899999988,178.7508629999998,209.3258880000002,183.343177,315.388251,220.55578500000036,93.44500300000009,204.77943299999995,140.2768360000001,226.05803100000003,162.5825750000001,431.054146,234.5570760000003,
"1981-09-01 00:00:00",107.3840120000001,124.69866300000015,154.9607439999998,186.25960400000002,127.95076999999988,179.22187400000004,123.17120599999991,159.88695700000034,291.08863800000023,125.25675799999999,81.6211010000001,213.64558199999982,120.578353,224.1694310000004,180.14606700000004,288.8996460000001,234.56796199999988,
"1981-10-01 00:00:00",196.01493399999993,143.58856799999995,153.86336,158.23986400000004,174.35232499999992,152.05047400000004,199.32719600000007,273.0358850000001,245.692216,265.21181300000023,104.55832399999984,194.2484880000001,183.66912699999997,321.13700100000017,116.38476899999995,232.2751789999999,173.5475520000001,
"1981-11-01 00:00:00",329.54496800000027,262.78328400000015,268.0123599999997,271.003892,345.05967600000014,227.5226520000002,324.12512899999996,357.7518990000001,242.466222,331.63431799999995,160.33868299999992,322.8969839999998,300.22816399999994,320.324973,291.73530200000005,298.12187199999994,325.9191809999999,
"1981-12-01 00:00:00",340.3433040000006,374.6259220000001,374.6790219999999,291.57311200000004,221.837296,282.8119549999999,244.4053759999999,409.63333600000027,299.89679900000016,354.9992499999999,132.42368200000007,339.81753200000014,342.2261469999996,393.05737899999986,350.67746700000055,144.15848000000014,394.1106680000002,
"1982-01-01 00:00:00",274.403746,201.26338599999997,213.32733900000002,238.24151400000008,557.7630089999997,290.3970750000004,386.9166840000001,312.95018600000014,416.98639300000025,280.054602,261.8188629999998,269.2484069999998,239.76431600000012,282.4599049999998,243.72957499999998,488.94540699999976,320.0041729999999,
"1982-02-01 00:00:00",281.6892139999996,190.71670299999977,205.66971099999978,294.48041900000004,402.0082870000002,236.438168,333.0286240000002,312.4663319999998,386.14370100000053,385.4611780000004,161.88819199999972,327.5086229999998,246.84720100000015,303.0113339999999,262.18749,334.42769700000014,288.60487099999966,
"1982-03-01 00:00:00",203.4559710000007,161.625001,135.6895800000001,166.18089899999998,329.53704899999985,238.86939799999993,212.69065500000008,313.7205789999998,349.4217399999997,340.6775599999998,124.36246599999994,117.69326199999988,196.2354509999999,266.6183680000001,83.78052499999993,272.2689340000003,138.78591300000008,
"1982-04-01 00:00:00",292.94169200000044,249.27275100000014,255.4815819999998,263.595741,365.2654369999997,291.8280239999994,317.7928389999994,345.00617000000074,347.3763659999997,348.6869249999999,228.34559500000006,325.00507199999987,275.48505899999986,361.5801030000002,293.0703319999998,295.24398599999995,360.88000100000005,
"1982-05-01 00:00:00",197.6030240000002,200.28284699999998,215.517305,198.73368599999984,240.28645200000003,223.95088900000016,257.9645100000002,244.1580950000001,238.85910400000026,152.2330169999998,118.78752900000003,245.46902699999995,207.69787200000025,324.25411899999966,204.53321699999995,217.89632899999972,255.67197099999998,
"1982-06-01 00:00:00",159.40906000000032,122.46480300000009,163.72511199999988,233.55330900000027,197.55294200000006,251.77861900000033,185.98313700000017,215.02887799999976,272.68740899999983,219.7006260000001,91.88843199999987,177.53995999999975,143.6796010000001,217.163656,150.92468800000006,397.4078439999999,246.0047549999996,
"1982-07-01 00:00:00",145.62212799999998,85.96624199999985,120.66953099999999,170.32752800000006,188.38510400000013,159.92816599999995,193.3168870000001,160.68114800000006,200.1862379999999,157.61587200000005,87.40196099999989,168.521959,132.87452899999997,189.50040600000017,136.50324899999998,262.2071260000001,176.46483499999982,
"1982-08-01 00:00:00",172.88008100000016,104.23087200000002,117.92488399999988,123.94582600000012,176.53429700000004,164.22158000000005,172.43916999999988,188.33072600000008,243.32472400000015,119.15381600000008,76.50698599999991,145.22683699999993,157.62684799999988,246.4669809999997,112.75989400000019,264.0070400000002,156.4723800000001,
"1982-09-01 00:00:00",204.3656110000001,180.8518249999997,203.79070199999992,183.8149070000001,199.62726300000006,177.79041499999985,181.52685100000042,264.99299400000024,274.8356129999998,265.5731419999999,74.94826499999999,185.46605500000004,201.49530600000006,233.05082200000012,175.73383499999971,443.21890700000023,276.09241199999997,
"1982-10-01 00:00:00",162.4348520000001,174.34018000000006,216.72044400000016,197.10921099999996,238.00010300000025,233.10984299999996,187.25051400000018,268.8142,292.90402299999977,238.19629199999994,60.56359100000002,193.65046900000027,157.18424900000002,325.30746000000033,180.89829399999977,255.14531600000007,281.19360800000027,
"1982-11-01 00:00:00",232.20746200000016,173.42106499999997,212.82980800000018,181.89284499999997,364.5795049999999,207.51825999999983,250.93449100000004,304.8267579999999,273.35511799999995,318.4593419999998,158.64696099999992,195.283061,203.48856499999977,361.52852800000034,165.99032100000002,334.006355,265.2116670000001,
"1982-12-01 00:00:00",370.6479619999999,341.85046999999975,356.3281989999999,415.90236299999975,394.4140800000001,308.7431499999994,334.863026,415.9252779999998,354.7477149999997,385.63248599999974,149.87588499999998,390.2341929999997,357.46863800000017,425.9982779999998,334.0460990000004,328.0671440000002,438.79673399999956,
"1983-01-01 00:00:00",322.87666200000007,290.93595199999965,299.7659069999999,337.3215400000002,428.32166400000045,326.7535509999995,340.8147170000002,372.27203800000035,399.5583290000001,367.91673900000006,265.93201199999976,313.18518700000027,315.040435,358.1255390000005,294.84449499999994,337.80613999999974,362.8981600000001,
"1983-02-01 00:00:00",493.0407760000005,503.20684799999935,491.342786,386.03102199999984,338.3939259999998,325.48066899999964,343.07069500000034,563.1730149999997,331.9909520000002,524.9040199999996,189.58762800000014,481.54062800000025,489.0513189999995,521.8183170000001,480.3135940000001,234.22874000000002,489.49672799999956,
"1983-03-01 00:00:00",284.69862199999983,165.4322970000003,178.6297710000003,213.74738499999995,335.21434700000003,219.75275500000006,297.9779609999998,289.64001399999995,361.0838370000002,320.4533760000001,172.26587399999994,254.02253099999996,241.45718099999985,266.3321689999999,208.7754479999999,359.8021630000002,275.7820949999998,
"1983-04-01 00:00:00",268.1359179999999,248.99948100000023,269.155396,228.30484899999985,325.98659599999985,195.25193800000014,260.4216599999999,365.92509,347.167745,321.3393049999998,188.24085499999978,257.16498200000007,262.7456510000002,320.1810980000002,255.68244099999978,358.0445550000003,311.751131,
"1983-05-01 00:00:00",205.72768599999984,146.98985500000015,176.06062199999982,173.07416800000001,466.32173799999975,178.21392099999994,296.13920699999983,236.60579800000005,192.78993100000008,178.3475390000001,168.97804199999993,209.7047510000002,191.2988389999999,196.81293399999987,196.32582300000024,412.3084829999999,259.4100709999998,
"1983-06-01 00:00:00",202.29395499999998,129.88395700000004,146.11682200000013,151.530347,283.69123099999996,153.6712170000001,266.5847999999996,228.78392999999994,241.80723,208.21714000000014,144.73825399999993,159.69198999999992,192.90279499999994,207.55381000000008,177.74119100000001,344.54252999999966,238.5970619999998,
"1983-07-01 00:00:00",169.393736,130.87443500000012,166.09767000000008,163.03522500000008,178.70005200000008,164.7480740000001,159.37503199999995,213.07165099999986,245.64526299999997,169.524596,71.32197099999992,181.0341489999999,156.13707500000007,273.4111980000002,155.2316720000001,323.3952890000001,213.9754790000003,
"1983-08-01 00:00:00",116.81906700000029,106.20965199999995,187.79997599999993,166.31974799999992,135.4947600000001,168.02392000000017,129.29142000000004,141.25644599999998,255.7311080000003,78.47437200000005,57.00912699999999,185.34341300000017,97.69711100000002,271.7384290000001,155.62943400000003,238.7280250000001,216.92656399999998,
"1983-09-01 00:00:00",144.3323839999998,100.95320400000003,140.24171100000015,185.4727380000002,187.37609300000014,209.50054799999998,168.89491300000017,153.98656100000014,286.69955899999957,104.97124599999991,71.114279,172.44331999999983,131.28976899999998,267.55813600000005,132.95239600000005,288.13920899999994,203.2703439999998,
"1983-10-01 00:00:00",310.032492,261.052824,293.4733789999997,308.77564599999977,247.64474799999982,276.5266070000001,259.2470229999999,348.9039830000001,291.9462439999998,309.9430059999997,108.15130600000003,291.64538699999974,299.921874,320.3027490000002,262.58971399999984,239.3860129999997,354.40508400000004,
"1983-11-01 00:00:00",343.41534100000047,390.2668490000001,423.9337959999994,397.9617620000002,272.695595,344.36755299999993,267.3073069999998,436.3703439999998,279.860432,406.0902120000007,140.64701499999995,443.544093,345.28134900000015,474.27027699999996,415.39185700000013,242.47759000000005,489.13834899999966,
"1983-12-01 00:00:00",198.91908400000025,206.2021660000002,225.14459499999995,404.0262079999999,294.589051,321.9136930000003,278.0119519999997,253.73615099999992,357.37025500000004,214.83078999999984,160.89409299999983,376.0190630000001,196.66307700000007,310.32943499999965,302.2861289999997,302.8401519999996,374.6598160000002,
"1984-01-01 00:00:00",351.745108,328.1057870000003,328.58936499999993,372.9100699999998,394.05549500000035,249.5261649999999,323.440781,424.5510579999996,363.0148099999999,390.2102390000001,241.48336100000003,407.5088260000001,332.8998819999998,473.0006559999995,336.49075199999993,381.021785,406.80358499999977,
"1984-02-01 00:00:00",448.4988839999998,402.6264859999995,392.3201,339.3856989999997,508.30593700000003,258.7576719999999,412.32563899999997,470.6920610000001,310.350559,464.1732260000001,214.54277700000003,404.0131629999998,424.44784199999975,476.29648099999997,356.32446599999975,374.0531849999999,391.9135759999994,
"1984-03-01 00:00:00",274.7719520000001,213.37141900000006,213.08965800000013,192.03630399999983,373.7604989999995,281.1324630000003,301.46555499999977,314.1133090000001,337.9689390000001,295.53329500000046,229.6692870000001,225.5341189999999,250.90941900000016,331.5684600000001,169.26555099999996,330.2964740000002,250.57537699999995,
"1984-04-01 00:00:00",194.2374650000001,178.74337099999988,243.80049300000016,154.26362600000004,301.3397700000005,167.8891290000001,288.863525,230.22610199999974,324.7924199999992,190.62754800000005,211.14987699999975,183.78187,175.84548800000024,373.5062729999996,155.42193700000013,395.28731600000054,240.267384,
"1984-05-01 00:00:00",141.82648000000026,94.48739099999992,122.68955799999982,169.1984960000002,283.7755930000007,202.22393299999996,192.73383600000005,202.40473900000003,242.3466950000002,203.51185600000025,157.0702359999999,200.24404800000002,123.77701700000011,200.42815400000018,148.3403410000001,239.6009359999999,217.32681699999986,
"1984-06-01 00:00:00",178.054469,130.81402400000016,147.87015100000005,143.97787200000008,352.83403499999963,151.67603199999976,225.92082699999983,204.92280299999987,206.77379000000013,141.60335899999987,180.59726299999994,223.52821799999967,167.1448580000001,192.24764299999995,203.40150099999988,457.728503,257.50151399999976,
"1984-07-01 00:00:00",130.88273000000004,209.93157899999997,239.42650499999985,148.93989400000007,214.5903860000001,140.42658299999997,163.65925300000015,215.5227669999999,249.47200100000015,174.85299799999993,109.12863600000013,223.57145399999996,141.0838370000001,335.6204590000003,216.7716030000002,261.9879440000003,280.8947220000002,
"1984-08-01 00:00:00",122.72943300000011,158.94764,189.26359300000018,127.912233,164.46150099999997,124.97116899999988,167.39976500000003,174.8327059999999,324.93277199999966,148.12643200000005,85.80040500000008,163.0976759999998,127.500488,320.497,183.1265040000003,277.5147970000001,221.93328999999991,
"1984-09-01 00:00:00",116.37381299999987,77.01507599999998,125.62305699999995,127.90232200000005,165.6919210000001,139.34459399999994,157.55302400000008,149.68833100000003,264.546311,120.30802700000005,63.8411459999999,150.48730700000004,109.17414999999998,194.15825199999998,134.7164929999999,355.02346000000006,161.91386799999995,
"1984-10-01 00:00:00",226.81528300000005,185.86781199999987,196.240729,156.99462000000005,293.86394899999993,177.06781400000008,247.70514999999992,260.8692260000001,226.54703600000013,257.90403899999984,134.45164999999994,238.75242000000003,211.25701999999995,266.1577840000001,203.25845200000012,348.674438,244.694942,
"1984-11-01 00:00:00",292.29561000000007,304.1360299999999,336.48414000000014,323.32202300000006,284.32894400000026,209.60458900000012,250.87794700000006,366.706529,249.7393940000002,318.0065060000002,138.78503999999973,419.73752699999994,278.04287899999986,370.51347300000003,354.3112499999999,263.1005219999999,413.0363120000003,
"1984-12-01 00:00:00",274.721762,315.2237560000002,335.3732540000002,171.08501199999995,416.8752850000001,223.33634099999983,300.9562800000004,360.9147390000003,313.24821999999995,304.10018200000036,129.13853299999985,273.81959,262.60637,463.23342000000025,257.875519,419.33159600000033,327.6012200000003,
"1985-01-01 00:00:00",254.5611800000002,250.77475000000013,252.19346600000006,259.4472049999999,335.3961340000002,242.2129839999999,240.14730599999982,337.70687199999975,375.88649799999985,299.9981069999997,178.3371519999999,295.119232,237.6760310000004,394.042414,216.62532999999993,372.8540850000008,311.83035500000045,
"1985-02-01 00:00:00",297.8685549999999,258.46550700000006,270.06383200000005,247.07727199999994,420.8638709999999,189.47540100000018,324.62040199999956,341.92985699999997,401.690221,241.44658600000025,199.15097799999972,249.74508599999965,266.924965,284.63066200000014,255.29479299999994,326.28882599999974,369.63541499999997,
"1985-03-01 00:00:00",207.35222599999983,154.51541099999992,150.90220800000003,167.07511400000007,315.22745699999996,142.82301899999996,206.09398199999993,249.38093200000023,330.01612300000016,326.7290049999997,154.240678,223.64953299999985,188.39898200000022,207.54158199999986,211.4209019999998,371.24148799999995,228.9187510000003,
"1985-04-01 00:00:00",202.165323,154.43027200000003,185.29495099999974,209.78865899999974,383.06035900000046,201.12668399999984,307.5236940000001,241.21957599999988,356.27403400000014,301.683824,174.41907500000013,244.0262139999999,189.55012999999988,342.61779299999966,192.64001199999996,430.02238000000017,262.1978139999998,
"1985-05-01 00:00:00",293.35210799999993,198.7158010000002,227.32800200000003,207.65467100000018,314.63123200000035,198.71127099999995,308.3480189999999,309.0073860000004,272.71339500000033,298.89125599999994,226.22773199999992,203.45425299999994,264.38300699999974,288.02117999999996,198.02067300000016,319.4835239999996,280.2927020000001,
"1985-06-01 00:00:00",184.55038700000014,162.45201599999984,173.35356700000006,137.90138999999988,263.6352690000002,158.22118200000008,182.8431560000001,236.36706900000036,189.88692600000007,180.92108299999995,112.8184249999999,197.606172,166.24690699999988,257.27717299999983,175.12332900000007,359.5441289999997,237.70022799999975,
"1985-07-01 00:00:00",174.15279500000017,100.94484500000003,121.154772,120.35242499999994,152.78653500000001,124.60745699999998,188.76225199999982,189.9534810000003,198.82606099999998,175.8528150000003,114.57263300000005,189.61012200000008,162.7227809999999,204.27512000000004,166.49148400000016,286.16391500000015,195.80893999999992,
"1985-08-01 00:00:00",180.2824060000002,134.61080300000003,164.85622500000017,140.5066549999998,185.54539499999981,148.57250200000007,176.92566699999986,231.45335599999993,277.7888380000001,184.94814300000016,73.10697400000001,194.27407000000028,169.214962,208.0291460000002,164.20022399999976,288.26470799999987,228.17977800000014,
"1985-09-01 00:00:00",244.46011500000003,181.68521999999993,222.45389400000008,183.22722500000015,181.618443,207.10115500000003,205.95413999999974,320.8190089999997,328.51759400000014,344.69249900000005,82.58814999999996,194.30335300000007,226.40521199999995,291.67124099999967,161.90813700000018,408.0999919999998,258.25514600000014,
"1985-10-01 00:00:00",186.08894899999996,223.49100600000008,279.3575959999998,258.9094589999999,155.5405260000001,258.72066899999993,149.9768130000001,245.06282099999996,298.4638180000001,250.4186119999999,57.68403100000009,312.14112,188.06736599999994,308.336301,265.89237900000006,212.44099500000019,338.57053099999996,
"1985-11-01 00:00:00",172.85796300000007,156.17157600000007,194.14946000000003,277.9285709999999,176.23874799999993,327.1984330000005,201.0513740000002,231.8462429999999,343.3687129999998,206.27928900000003,141.405046,305.80700099999984,161.6653480000002,286.1679339999996,229.1547060000001,191.6705339999998,302.32304800000037,
"1985-12-01 00:00:00",283.0620390000002,274.58269100000007,274.33576199999976,249.92023500000002,329.53751699999964,265.73452199999997,244.11993,346.51718299999965,340.044326,288.8106819999998,171.32763299999974,326.38795500000015,270.52743599999997,338.15884100000017,291.4648599999997,372.84084599999994,348.2480080000007,
"1986-01-01 00:00:00",357.04439400000024,281.4832229999998,283.1703439999999,240.93957800000013,389.22172599999953,198.8879779999998,303.5923729999994,388.3600830000005,299.10684399999985,356.3353620000003,123.60818999999992,283.84688099999994,330.98010700000026,295.3121170000004,240.40596699999992,379.62576900000005,288.36910600000033,
"1986-02-01 00:00:00",454.2069519999992,350.3675380000001,313.97105799999997,257.75713799999994,506.2287929999996,193.96412500000005,426.27789900000005,491.00446999999957,364.2423960000002,438.3356270000003,229.8493179999999,323.5980159999998,423.3087159999997,344.13045999999997,312.9796959999999,367.82043200000044,348.40640800000045,
"1986-03-01 00:00:00",274.27374500000036,205.8032180000002,214.42633099999995,179.35488299999997,322.5926319999996,188.12914500000008,252.66871300000008,305.45229200000017,389.410414,334.23087400000003,203.6500409999995,224.60717500000018,259.55849899999987,213.27363699999992,221.1896420000002,361.7203819999998,287.73905499999995,
"1986-04-01 00:00:00",272.26365600000025,221.38803600000003,245.18242899999981,278.47718799999984,335.14011799999975,349.9004980000003,283.9709489999999,345.0566189999997,374.83903399999986,421.9767629999998,146.0329849999998,291.82657600000016,257.70246299999997,374.28393400000056,236.39600500000023,338.74690400000026,332.2164169999999,
"1986-05-01 00:00:00",203.88729999999995,154.334509,163.76637600000018,168.92648700000007,351.6752059999998,166.23153000000005,290.40646699999985,254.07894700000003,226.82694800000027,241.424907,153.87186400000002,241.41100699999978,183.20949099999993,223.59059799999974,213.99280899999994,384.1780800000001,262.0927209999999,
"1986-06-01 00:00:00",242.81604000000033,199.05711900000054,226.1241540000001,159.574089,174.0556329999998,230.34686800000003,196.955527,356.5385009999994,252.04683600000016,366.70260800000034,63.62328399999994,173.09737299999998,225.0799060000002,307.7776819999998,206.715138,370.87037600000036,300.0952910000002,
"1986-07-01 00:00:00",216.01852900000034,123.24474999999977,143.77623400000002,162.5328530000001,194.0241140000002,166.68472800000006,185.3668110000001,247.21846999999997,229.98573499999972,190.40010900000013,86.61226599999998,187.25793899999982,191.19980199999983,202.10494099999994,119.2302660000001,354.34415300000023,175.224766,
"1986-08-01 00:00:00",118.8532139999999,130.64077000000006,186.4139369999998,127.81959800000001,166.8067649999999,146.97186200000013,168.8777439999998,178.70224399999995,254.12874599999998,175.89971899999992,103.32789199999989,191.389315,116.04602599999994,272.2607299999999,180.40337000000014,381.812749,241.39719600000006,
"1986-09-01 00:00:00",191.9235710000003,144.57574900000006,194.2498369999999,163.6875540000001,188.06626500000002,197.6226140000002,162.4293820000002,246.915709,339.30085799999983,238.35704099999992,94.37997999999993,203.51854799999992,186.9273170000001,290.82261299999993,151.69077299999975,323.17049600000007,236.62073100000026,
"1986-10-01 00:00:00",144.98553100000035,205.090534,279.19911699999983,256.3797910000002,196.4145479999999,171.99840799999998,172.37343699999997,200.6804390000001,273.3480599999999,149.26238600000005,93.15668499999997,334.9695150000001,131.19238200000004,359.80642299999977,291.88026800000017,250.04421599999986,342.87617999999935,
"1986-11-01 00:00:00",272.1414450000002,247.37981100000002,271.78241399999973,296.0914359999998,222.2919510000001,337.5964469999999,246.32773099999983,335.3066070000001,338.9433150000003,310.4933639999998,152.83016900000007,325.621792,259.867868,313.060088,272.7644359999998,273.85277599999984,370.96991000000014,
"1986-12-01 00:00:00",359.11901900000015,337.0799670000003,350.5599979999999,343.6392940000001,321.04127400000016,311.69162000000006,298.9762050000005,438.4188460000002,301.7079929999996,418.8448289999996,129.75349499999982,386.5860510000001,343.3882790000002,415.2870019999995,327.15926099999984,287.6015500000002,425.70145799999983,
"1987-01-01 00:00:00",448.3335810000005,342.1227699999995,330.3056709999999,344.0339800000001,432.73637199999973,279.90800500000046,375.8935280000002,489.0429850000001,337.7668110000005,443.2257630000004,168.9623080000001,353.0845740000002,418.98785999999956,390.5342650000005,330.11260599999963,311.7494060000001,395.13977300000016,
"1987-02-01 00:00:00",233.20790300000007,289.88620800000007,302.66555399999993,272.9514429999997,354.1636809999998,198.0618399999998,311.88887699999935,299.3382069999999,464.1558940000004,281.674767,259.6054439999998,296.7127509999999,229.6318250000002,368.954568,287.22491700000006,383.16829600000005,345.448924,
"1987-03-01 00:00:00",210.17016199999995,154.22994900000006,197.39357099999984,269.32944899999995,299.62967200000026,219.0951900000001,248.91210900000007,225.7354120000002,317.735631,198.93706899999984,103.77191699999996,242.3483950000001,183.10262599999982,265.8672750000002,195.23573700000009,311.85972799999985,253.78736300000014,
