"time","AT_ON","BE_OFF","BE_ON","BG_ON","CH_ON","CY_ON","CZ_ON","DE_OFF","DE_ON","DK_OFF","DK_ON","EE_ON","ES_ON","FI_OFF","FI_ON","FR_OFF","FR_ON","GB_OFF","GB_ON","GR_ON","HR_ON","HU_ON","IE_OFF","IE_ON","IT_ON","LT_ON","LU_ON","LV_ON","MK_ON","NL_OFF","NL_ON","NO_OFF","NO_ON","PL_ON","PT_ON","RO_ON","SE_OFF","SE_ON","SI_ON","SK_ON"
"1980-02-01 00:00:00",186.27549000000016,243.06656300000012,183.96763800000005,226.17645599999955,160.54655300000005,158.56033900000006,163.2607130000002,190.1424099999999,103.5135859999999,205.07946099999992,138.80939499999997,159.41199100000006,246.50481400000015,248.37567400000003,221.99091000000007,356.0626300000002,184.99033899999995,284.74610399999995,192.5447880000001,248.58972800000006,164.56005200000013,176.39541900000006,245.85418699999977,202.33827799999986,208.74577099999968,168.24055100000007,198.397129,158.52008199999995,99.31229500000013,231.32369999999992,159.10406199999997,432.40352899999993,227.44883799999997,153.70461500000002,234.20791599999993,222.0327269999997,324.333211,156.036656,98.17892100000003,110.48151900000002,
"1980-03-01 00:00:00",167.43039600000012,168.52236100000005,160.40177199999977,189.4331640000001,147.21532199999987,107.44600599999998,157.86771099999984,186.96931799999987,106.0376419999999,217.1223510000001,149.62351900000013,140.86479000000008,172.56882100000018,215.15212100000022,178.47710600000002,339.519241,190.29792699999993,206.77833900000002,162.00443300000006,244.2814140000002,92.74517899999995,127.01241799999991,172.85812100000012,149.26917599999976,142.1016249999999,124.49087000000002,177.00393400000013,118.66240500000008,35.72588000000002,165.98559099999977,122.90891700000005,407.8422369999997,217.745365,123.56953099999987,161.83756000000005,145.68349600000005,267.079963,113.7707500000001,49.422564,80.30085699999982,
"1980-04-01 00:00:00",199.53520699999976,237.12596299999987,185.85178800000017,169.52587700000024,135.86154299999998,201.37770499999985,200.919014,315.68486099999996,174.97520300000025,339.2974609999998,240.01992,150.74359799999993,258.0645920000001,236.98259599999994,195.37543100000002,425.6920560000005,214.51524900000024,286.99522700000017,205.56905400000008,181.22618899999995,104.86272500000008,195.40849500000007,253.4068729999998,230.55883799999964,162.40120900000016,237.06146299999986,189.00242699999993,186.68253199999995,83.57420700000007,259.26928100000003,198.43023099999982,506.88704399999955,213.37506999999954,230.736884,241.825155,172.754025,417.4857890000002,158.74403500000008,51.47015900000001,117.30197099999987,
"1980-05-01 00:00:00",206.59357400000007,204.758329,173.18667000000005,120.841693,125.272622,175.57907499999976,173.78621900000007,211.33453300000002,135.41532299999983,188.0552639999998,131.85270100000002,99.32655299999992,217.9199239999998,169.84174600000003,159.212671,313.8158110000005,187.97045100000022,214.07278899999991,159.02304999999996,125.81649000000014,84.74763900000002,175.09033199999982,133.052088,119.09540500000001,151.42404100000007,137.70127000000005,203.48592000000016,100.58446300000004,43.427434000000034,245.23958000000005,180.07837900000024,344.4576360000001,180.64472200000006,141.46285100000011,196.46974400000008,136.58479599999998,222.98635899999994,122.776804,47.32930099999997,103.58008600000012,
"1980-06-01 00:00:00",164.4718309999999,212.58967300000003,154.59336099999996,137.690764,96.06710999999997,121.592774,137.61176100000023,135.4440649999998,96.55418300000005,132.53170900000012,90.09960200000008,144.65638999999987,183.17395699999972,192.9171289999999,182.92484100000013,275.6862179999997,146.7252119999998,233.69909200000012,136.683766,141.84261800000013,89.87973800000002,159.90546200000009,157.93475799999982,156.7845779999999,148.05892699999978,150.15731499999993,181.3853759999999,131.69266299999995,75.41181599999997,212.5361909999999,152.86787500000014,229.9548999999999,120.09094600000002,118.63449499999986,201.38415800000013,157.25503,219.93717000000018,124.7323070000001,70.58942000000006,103.68099999999983,
"1980-07-01 00:00:00",210.682457,165.02441099999987,144.8871540000002,113.1608549999999,133.11627499999997,72.45953599999999,163.01188099999996,141.57057200000006,104.770277,168.80383099999995,108.92819899999989,123.21749400000002,167.34826199999995,199.39799,187.77892700000004,340.08295699999996,166.730119,198.12084599999983,150.7875490000001,109.50631200000005,59.08947400000008,188.57310100000018,151.05159800000004,159.72529500000002,126.65495899999985,136.7775399999999,159.81114300000002,119.72370400000007,85.17764000000004,164.5918270000002,121.30468099999993,255.70935199999974,102.74505900000011,148.8711120000002,222.70361499999999,172.57380700000007,266.74545500000005,130.45392100000018,38.848805999999996,114.00982800000008,
"1980-08-01 00:00:00",217.72754399999977,209.21062699999996,173.76064700000003,109.45580099999997,156.855655,84.10418399999995,149.78716499999985,154.71027800000007,110.78101399999996,146.16501399999984,101.66315099999996,108.43354100000009,161.32119300000008,91.69755500000008,104.00107599999997,322.4102030000003,179.273871,239.05047800000028,159.69355400000003,125.69302400000012,58.179494999999996,215.8325840000001,169.98568400000002,179.391287,115.89879199999984,149.37473300000013,211.7735229999999,120.10382999999985,82.17411100000007,206.4729539999998,147.6249300000001,249.69278399999985,94.13719700000006,152.23129,194.95871100000002,152.31371499999995,211.5443970000003,85.9625520000001,41.84255,122.1553569999999,
"1980-09-01 00:00:00",156.84476700000008,198.30226300000012,152.2594299999998,101.61173999999998,96.62703499999995,72.38047299999994,142.54334699999978,225.53252000000018,140.3386569999999,243.20493300000004,192.1445030000001,97.16342399999999,143.875696,194.4256180000002,181.41946799999994,280.7798570000003,143.34393900000006,236.37252000000012,160.1456770000002,188.71971899999988,58.038836,139.12678100000014,165.9847420000001,152.58197499999991,101.56040099999979,164.85296799999983,154.85823999999985,118.48806100000003,42.12089000000007,223.87059300000013,167.48425100000009,381.1629990000006,137.19727099999986,175.53929400000015,191.35344299999986,130.36111799999998,297.3939010000001,138.12359299999997,35.596063999999984,90.42642500000004,
"1980-10-01 00:00:00",150.24564700000016,173.89385600000003,145.9124679999998,123.26377599999996,93.40901600000011,66.81885799999998,128.61243999999996,186.73379999999997,115.618298,221.11575700000014,168.10610399999982,112.03335100000014,123.68387300000005,193.17947900000016,177.63817000000003,249.55655000000039,140.90137700000005,273.81322000000006,230.4852680000002,140.9546070000003,45.73993200000001,139.53272099999995,280.8841750000001,268.23953,62.076214000000014,133.83976700000002,150.69618799999984,122.48746000000018,53.45413099999998,181.937867,138.85293799999982,394.59463899999975,167.565173,151.81773199999984,146.87740500000015,127.13455199999993,292.3303520000001,147.860098,30.813676,78.51413100000002,
"1980-11-01 00:00:00",239.31085999999985,302.96438799999976,215.22776299999995,180.4651869999999,143.90189300000006,89.90167899999999,202.59856900000003,338.9628269999999,192.43764999999993,344.63691499999965,236.73641899999987,235.59519200000008,224.62792900000045,312.119085,276.12737900000013,372.7164850000002,207.5477779999999,362.276609,270.10568099999983,151.28310699999997,154.56769099999966,254.16593399999985,312.6411490000001,271.59965700000026,192.15193200000016,270.5310019999997,208.766351,235.84619200000026,90.37668899999997,327.26608299999987,240.80528900000016,428.2321809999994,207.49458100000018,250.3534689999999,199.78917500000009,237.12963399999998,444.06466499999954,239.29888400000013,77.03052699999999,142.83422800000005,
