"time","AT","BE","BG","CH","CY","CZ","DE","DK","EE","ES","FI","FR","GB","GR","HR","HU","IE","IT","LT","LU","LV","MK","NL","NO","PL","PT","RO","SE","SI","SK"
"1980-02-01 00:00:00",186.27549000000016,203.10052499999998,226.17645599999955,160.54655300000005,158.56033900000006,163.2607130000002,112.60508600000003,160.3060199999999,159.41199100000006,246.50481400000015,222.14578300000002,185.08506699999987,228.29677200000006,248.58972800000006,164.56005200000013,176.39541900000006,202.74902199999994,208.74577099999968,168.24055100000007,198.397129,158.52008199999995,99.31229500000013,169.80950100000032,228.04326899999998,153.70461500000002,234.20791599999993,222.0327269999997,165.10849900000022,98.17892100000003,110.48151900000002,
"1980-03-01 00:00:00",167.43039600000012,163.03077100000013,189.4331640000001,147.21532199999987,107.44600599999998,157.86771099999984,114.53123700000012,171.51873600000002,140.86479000000008,172.56882100000018,178.6923920000001,190.38053399999984,179.36597700000024,244.2814140000002,92.74517899999995,127.01241799999991,149.49183299999999,142.1016249999999,124.49087000000002,177.00393400000013,118.66240500000008,35.72588000000002,129.2943669999999,218.29669100000004,123.56953099999987,161.83756000000005,145.68349600000005,122.0347079999998,49.422564,80.30085699999982,
"1980-04-01 00:00:00",199.53520699999976,202.4514769999998,169.52587700000024,135.86154299999998,201.37770499999985,200.919014,189.74239199999988,272.223499,150.74359799999993,258.0645920000001,195.6196839999999,214.63215800000023,237.14289500000027,181.22618899999995,104.86272500000008,195.40849500000007,230.77448500000006,162.40120900000016,237.06146299999986,189.00242699999993,186.68253199999995,83.57420700000007,207.44867499999984,214.22631199999984,230.736884,241.825155,172.754025,172.69118700000004,51.47015900000001,117.30197099999987,
"1980-05-01 00:00:00",206.59357400000007,183.40777099999966,120.841693,125.272622,175.57907499999976,173.78621900000007,143.38288400000002,150.0836339999999,99.32655299999992,217.9199239999998,159.27507499999982,188.04011200000008,180.36913700000002,125.81649000000014,84.74763900000002,175.09033199999982,119.22714300000003,151.42404100000007,137.70127000000005,203.48592000000016,100.58446300000004,43.427434000000034,189.73752299999992,181.11982400000002,141.46285100000011,196.46974400000008,136.58479599999998,128.178476,47.32930099999997,103.58008600000012,
"1980-06-01 00:00:00",164.4718309999999,173.36929000000015,137.690764,96.06710999999997,121.592774,137.61176100000023,100.63559899999993,103.86371200000008,144.65638999999987,183.17395699999972,182.98349299999975,146.79661700000017,174.30245000000002,141.84261800000013,89.87973800000002,159.90546200000009,156.79544700000008,148.05892699999978,150.15731499999993,181.3853759999999,131.69266299999995,75.41181599999997,161.7127769999999,120.40958199999987,118.63449499999986,201.38415800000013,157.25503,129.86421499999997,70.58942000000006,103.68099999999983,
"1980-07-01 00:00:00",210.682457,151.40645799999996,113.1608549999999,133.11627499999997,72.45953599999999,163.01188099999996,108.6323840000001,128.35061700000014,123.21749400000002,167.34826199999995,187.84715499999993,166.82608899999985,169.14151599999983,109.50631200000005,59.08947400000008,188.57310100000018,159.64341200000007,126.65495899999985,136.7775399999999,159.81114300000002,119.72370400000007,85.17764000000004,127.72134400000002,103.18870899999997,148.8711120000002,222.70361499999999,172.57380700000007,137.80055000000004,38.848805999999996,114.00982800000008,
"1980-08-01 00:00:00",217.72754399999977,185.2373389999998,109.45580099999997,156.855655,84.10418399999995,149.78716499999985,115.39130799999998,116.09864700000007,108.43354100000009,161.32119300000008,103.92886100000005,179.35311599999977,190.4650210000003,125.69302400000012,58.179494999999996,215.8325840000001,179.30249899999993,115.89879199999984,149.37473300000013,211.7735229999999,120.10382999999985,82.17411100000007,156.348236,94.58835500000002,152.23129,194.95871100000002,152.31371499999995,92.73188699999993,41.84255,122.1553569999999,
"1980-09-01 00:00:00",156.84476700000008,167.16549500000005,101.61173999999998,96.62703499999995,72.38047299999994,142.54334699999978,149.27957000000012,208.70744399999995,97.16342399999999,143.875696,181.49583499999977,143.42002599999998,189.70341400000027,188.71971899999988,58.038836,139.12678100000014,152.70847400000005,101.56040099999979,164.85296799999983,154.85823999999985,118.48806100000003,42.12089000000007,175.84266000000005,137.90483899999995,175.53929400000015,191.35344299999986,130.36111799999998,146.7088639999999,35.596063999999984,90.42642500000004,
"1980-10-01 00:00:00",150.24564700000016,154.971271,123.26377599999996,93.40901600000011,66.81885799999998,128.61243999999996,123.0817139999999,185.30134200000012,112.03335100000014,123.68387300000005,177.72939200000002,140.96151600000013,247.286124,140.9546070000003,45.73993200000001,139.53272099999995,268.3588730000001,62.076214000000014,133.83976700000002,150.69618799999984,122.48746000000018,53.45413099999998,145.23961699999995,168.22363300000006,151.81773199999984,146.87740500000015,127.13455199999993,155.647592,30.813676,78.51413100000002,
"1980-11-01 00:00:00",239.31085999999985,243.63191699999996,180.4651869999999,143.90189300000006,89.90167899999999,202.59856900000003,207.81514099999987,271.7370849999998,235.59519200000008,224.62792900000045,276.33867000000043,207.63922300000007,305.8458999999998,151.28310699999997,154.56769099999966,254.16593399999985,271.9870370000002,192.15193200000016,270.5310019999997,208.766351,235.84619200000026,90.37668899999997,253.62176900000026,208.13477799999978,250.3534689999999,199.78917500000009,237.12963399999998,250.33653399999992,77.03052699999999,142.83422800000005,
