"time","AT_ON","BE_OFF","BE_ON","DE_OFF","DE_ON","DK_OFF","ES_ON","FI_OFF","FI_ON","FR_OFF","FR_ON","GB_OFF","GB_ON","IE_OFF","IE_ON","IT_OFF","IT_ON","LU_ON","NL_OFF","NL_ON","NO_OFF","NO_ON","PL_ON","RO_ON","SE_OFF","SE_ON"
"1980-02-01 00:00:00",140.99874699999992,251.47477899999996,209.7898919999998,165.98140700000005,130.31173099999984,183.8332159999998,325.2396860000001,249.22722800000005,230.421126,296.54320299999966,192.04749100000015,285.1682600000002,224.04048500000007,250.68688800000004,214.40905899999993,225.19117899999983,170.6086780000001,273.3379410000001,214.12349099999997,139.94886399999996,368.7610010000003,322.08093800000006,134.318464,123.17249900000007,263.84049500000015,151.58179700000005,
"1980-03-01 00:00:00",176.93088699999979,174.56591800000015,181.41047499999996,152.74308700000006,133.2275109999999,206.03688599999998,296.693091,218.44583999999998,183.37225300000003,267.41493200000036,189.41156200000026,237.0886430000001,186.75846600000014,177.47028799999995,142.0635860000001,151.78484700000007,129.09571400000004,241.89608099999992,159.20865299999983,105.30001500000009,354.8652330000004,324.0653600000001,113.89479400000016,62.844389,234.12416000000022,105.03477600000004,
"1980-04-01 00:00:00",178.66678800000008,247.07819299999986,213.21649100000008,270.73146200000014,192.89775300000008,313.97757700000005,297.91812699999986,243.99663599999968,203.98242300000013,337.94901699999986,210.20572299999995,285.79006,241.27791099999973,256.9225220000002,240.20183399999968,184.55155900000025,136.34794300000007,250.252798,240.32051999999985,178.79370199999997,429.5464120000002,434.009877,204.97619700000007,122.05470500000008,377.3996370000001,152.69278499999982,
"1980-05-01 00:00:00",174.51519200000007,213.04831100000007,204.06832899999992,188.64657599999973,153.93672299999986,182.36566499999992,403.03789199999983,186.17039299999993,168.10470099999992,207.82612599999985,191.33203499999988,243.09667800000005,180.52092700000006,139.28356300000007,150.31317900000016,186.23042400000008,119.22196199999999,274.90477599999963,204.24620500000015,169.13512099999986,288.016278,248.89850600000025,127.54830599999995,88.95711100000007,186.17183900000018,132.95533099999997,
"1980-06-01 00:00:00",135.25541199999986,223.94031299999995,185.30738899999992,115.94892199999991,119.70017999999992,107.53785399999998,228.15161199999994,208.30091100000018,186.839004,208.64987699999986,147.09232000000006,203.33298099999996,170.81165899999988,162.51377000000005,173.03095600000006,200.7082209999999,113.68427400000009,248.14672499999992,179.39867199999983,137.5190620000001,179.04180799999995,178.36235799999994,104.83880299999988,78.828435,177.20381399999985,147.10803300000006,
"1980-07-01 00:00:00",152.5189799999997,172.19068099999998,168.09095900000008,115.21058399999997,127.68990999999995,134.143243,239.7976019999998,220.55776499999973,193.64682599999986,245.3585669999999,168.42040100000017,190.77175599999984,179.89055999999997,157.81742600000024,162.90153500000014,143.91517900000005,115.33314299999996,224.6041209999999,141.02788899999993,107.86911399999995,205.62508700000004,174.65845400000018,165.08703800000015,117.30696499999996,218.39336000000003,138.41405999999986,
"1980-08-01 00:00:00",147.73306999999974,218.0936289999999,198.4734049999997,133.24179199999992,139.33972900000003,128.2082459999999,219.28609099999977,106.76351199999992,112.11465600000002,230.42264899999998,185.47365100000007,242.94553799999986,193.66005599999997,174.74520399999994,207.3270150000003,114.7362919999998,103.6003570000001,283.710127,182.58554099999995,129.3815919999999,197.95234400000018,180.17557500000007,155.19975099999996,99.56349599999984,162.46765300000013,92.89330599999994,
"1980-09-01 00:00:00",123.11987299999993,206.63803299999975,176.91630299999994,196.77140300000025,151.91232399999976,237.6102260000002,180.55218699999983,205.65191699999977,191.71558800000008,191.06657500000003,143.79582100000002,233.8035490000001,192.13295,171.12436100000008,161.79406700000004,115.01267399999993,83.01413199999999,216.75475699999967,194.4611969999998,154.0747110000001,313.66430800000046,292.434847,151.3754,88.60800999999996,245.68997199999995,150.13247199999995,
"1980-10-01 00:00:00",107.8763329999999,179.1564880000001,166.04657599999985,159.87527500000007,132.58437200000003,204.4007000000003,223.0488100000001,202.16650399999983,187.18438099999972,188.35949900000003,147.901773,268.66658000000007,274.6349479999998,284.24582599999997,294.6339970000001,70.99587800000002,57.58129399999996,214.3418220000002,166.40724899999984,127.958371,333.5370769999997,257.081227,126.04994799999996,87.02877799999992,252.71530799999988,173.5196049999999,
"1980-11-01 00:00:00",123.78994599999992,316.0355379999999,250.12529900000013,302.35498599999977,209.86242900000028,299.0310009999998,279.88918900000016,321.46385900000007,280.0953920000001,309.3649219999998,211.08074800000017,361.6978900000002,310.8185170000004,316.043345,304.8643110000003,170.69596700000002,194.8307619999999,283.5666390000002,299.4366210000002,219.40855300000004,366.14339199999984,327.87968199999995,232.42224000000004,138.54004099999995,403.18222599999996,251.45629999999997,
"1980-12-01 00:00:00",171.44029399999977,433.9002709999995,308.58810299999976,374.959584,242.92500600000002,326.75021099999987,325.8137259999998,336.7281200000001,293.6588320000001,394.76499399999955,246.57633300000003,447.45640499999973,357.7226890000001,379.03071399999965,331.47748899999993,188.71743800000016,155.18018600000005,339.93147000000016,397.93094700000006,274.14473399999986,314.87391399999973,260.97734799999984,226.82881600000022,108.7943470000001,390.69522599999976,200.08737700000023,
"1981-01-01 00:00:00",169.54552500000025,418.0797760000002,292.37493900000004,384.01088800000036,249.83008199999998,399.08925800000037,284.04361999999986,305.3908629999999,259.35860099999996,403.32011499999993,235.49990000000017,476.25020699999953,386.02678199999997,380.6283510000001,363.78844499999985,265.6582369999998,179.37351199999992,323.948892,386.51773300000025,252.58212899999998,440.9623980000002,391.8304700000003,221.98218199999994,101.22470700000007,440.1379440000009,261.54877000000005,
