"time","AT","BE","DE","DK","ES","FI","FR","GB","IE","IT","LU","NL","NO","PL","RO","SE"
"1980-02-01 00:00:00",140.99874699999992,249.8675399999997,163.78701999999993,183.8332159999998,325.2396860000001,236.6999909999999,269.4050889999998,279.7803100000002,242.83386799999997,217.3456460000003,273.3379410000001,210.5149909999999,331.19379699999985,134.318464,123.17249900000007,256.63877200000024,
"1980-03-01 00:00:00",176.93088699999979,174.82982699999982,151.54251100000027,206.03688599999998,296.693091,195.08239699999993,247.15701499999994,232.65241200000017,169.80583799999968,148.52358300000006,241.89608099999992,156.58606999999995,330.07809999999995,113.89479400000016,62.844389,225.842697,
"1980-04-01 00:00:00",178.66678800000008,245.772607,265.94315,313.97757700000005,297.91812699999986,217.34211899999994,304.77336799999995,281.86666300000013,253.3030090000001,177.62289900000002,250.252798,237.32732799999985,433.1385140000001,204.97619700000007,122.05470500000008,362.9840559999992,
"1980-05-01 00:00:00",174.51519200000007,212.7020750000001,186.51123799999982,182.36566499999992,403.03789199999983,174.13635300000024,203.5425039999999,237.5810979999998,141.67112400000005,176.59880500000017,274.90477599999963,202.538111,256.535051,127.54830599999995,88.95711100000007,182.75787799999986,
"1980-06-01 00:00:00",135.25541199999986,222.450752,116.17968600000003,107.53785399999998,228.15161199999994,194.00456100000005,192.6630179999998,200.46647800000008,164.79040599999976,188.1996439999999,248.14672499999992,177.36126700000025,178.49499499999996,104.83880299999988,78.828435,175.27308600000015,
"1980-07-01 00:00:00",152.5189799999997,172.032629,115.97830400000004,134.143243,239.7976019999998,202.6316819999998,225.37730499999992,189.81266800000003,158.9179819999998,139.80688100000003,224.6041209999999,139.414756,180.703718,165.08703800000015,117.30696499999996,213.2624479999998,
"1980-08-01 00:00:00",147.73306999999974,217.33713299999968,133.61693100000016,128.2082459999999,219.28609099999977,110.32805699999997,218.74914100000015,238.60140800000013,181.79814700000003,113.13565299999998,283.710127,179.99725300000003,183.64594099999982,155.19975099999996,99.56349599999984,158.00426800000005,
"1980-09-01 00:00:00",123.11987299999993,205.49208199999998,194.011686,237.6102260000002,180.55218699999983,196.36855299999988,178.79008400000004,230.13059999999984,169.10463999999993,110.41330600000005,216.75475699999967,192.49646399999975,296.57924200000014,151.3754,88.60800999999996,239.5596890000003,
"1980-10-01 00:00:00",107.8763329999999,178.65103300000015,158.19636999999986,204.4007000000003,223.0488100000001,192.1864970000002,177.85239999999996,269.1926429999999,286.4945450000001,69.06769200000005,214.3418220000002,164.53677399999995,272.00685000000027,126.04994799999996,87.02877799999992,247.6346769999999,
"1980-11-01 00:00:00",123.78994599999992,313.49423999999976,296.6648760000002,299.0310009999998,279.88918900000016,293.90722700000026,283.83997900000026,357.2132430000002,313.6234380000002,174.16503099999957,283.5666390000002,295.54337500000025,335.3494820000002,232.42224000000004,138.54004099999995,393.44853700000056,
"1980-12-01 00:00:00",171.44029399999977,429.06864500000006,366.8368670000002,326.75021099999987,325.8137259999998,308.0385359999998,356.2795679999999,439.54704199999975,368.73693599999996,183.89688199999992,339.93147000000016,391.9089149999999,271.49900900000046,226.82881600000022,108.7943470000001,378.46718400000003,
"1981-01-01 00:00:00",169.54552500000025,413.2330059999996,375.7561300000001,399.08925800000037,284.04361999999986,274.7275690000003,359.7362510000002,468.2977030000003,376.98305000000033,253.2559230000005,323.948892,380.00195199999956,401.4219579999998,221.98218199999994,101.22470700000007,428.6809379999999,
"1981-02-01 00:00:00",209.21767199999985,331.65769800000044,282.27557200000007,309.4165460000001,231.1881019999996,330.24901600000004,306.0726489999998,391.1656650000006,325.3568900000002,338.1363730000001,308.9679630000005,302.9697489999999,385.1641539999997,203.9510350000001,123.92713500000002,373.56708500000025,
"1981-03-01 00:00:00",165.55540800000006,237.90303500000024,224.46439399999986,266.29679999999985,223.47390399999986,178.59643600000004,241.5256249999997,305.519644,274.4838739999999,167.80288100000007,237.30411699999968,218.576405,296.75239000000005,203.40276800000007,122.61403400000017,300.6415870000003,
"1981-04-01 00:00:00",195.6677709999998,352.2541869999999,259.0038780000002,274.1326819999997,413.91150500000026,260.6192349999999,358.3518919999996,339.30214599999994,316.6495029999996,159.92960299999996,341.79770699999995,298.55790999999977,313.90120300000007,196.4010859999999,137.589118,326.5401669999999,
"1981-05-01 00:00:00",141.45866499999988,200.907734,150.67316199999988,155.80363299999985,307.1457930000001,267.2101149999997,214.45217100000008,229.06646800000001,171.45658799999987,120.56293899999997,212.98441499999993,176.79113900000002,249.73463400000009,139.72293100000005,136.97952099999992,229.67869799999988,
"1981-06-01 00:00:00",136.93741299999985,169.50230099999993,160.4049179999999,184.02029499999998,300.409523,188.60137599999965,242.40276200000017,226.53233400000028,201.80856499999976,139.17008299999998,199.7048200000002,152.41165699999988,283.2745030000001,138.417617,113.38482499999999,268.49940499999974,
"1981-07-01 00:00:00",112.22107899999993,236.54685400000008,192.22043099999985,220.71891799999975,383.6097120000008,264.50568800000025,176.19894100000013,268.1122639999997,210.47978699999976,108.734121,219.63555199999985,210.6142050000001,229.50127799999993,126.532073,62.30287700000001,257.593295,
"1981-08-01 00:00:00",130.047113,155.2832849999999,110.89112100000007,168.72921999999997,266.73789299999993,227.6952999999998,180.13682099999997,174.96314800000002,185.010782,134.6936960000001,193.57337000000007,131.33217500000003,196.88798500000004,117.21148900000007,122.94296000000003,239.8082870000002,
"1981-09-01 00:00:00",104.2627419999999,111.76801300000005,120.54045700000007,138.23124900000002,274.4368079999998,209.9747610000002,114.34379200000011,160.2736760000002,105.02378199999991,87.9917120000001,145.87882499999995,114.61769199999995,200.10485899999983,128.21871900000022,71.25064500000002,224.70213599999994,
"1981-10-01 00:00:00",86.90909700000003,195.834933,148.24468399999986,216.32138100000006,222.7140599999999,178.91841899999991,210.31065399999986,274.5951509999998,221.5385649999996,94.88527500000002,209.19912399999996,176.5509639999997,326.689315,96.15590399999998,84.29744899999994,190.23922699999986,
"1981-11-01 00:00:00",153.68594199999993,331.30220699999984,269.84901800000006,296.1610880000002,255.09001399999974,254.75650600000012,326.12160800000055,348.3156209999996,289.72347399999984,130.85139900000007,329.46106399999985,293.9796450000002,308.4484460000001,197.5959900000001,117.31832899999998,318.52126000000015,
"1981-12-01 00:00:00",215.57439600000004,343.87026000000054,367.6129670000002,408.2104820000001,119.10687999999989,294.96633,263.08915600000006,401.8551019999994,296.42561599999976,169.45677900000007,329.4372959999998,337.485465,388.793029,246.83108000000007,164.71299800000008,411.3974679999997,
"1982-01-01 00:00:00",209.46422799999996,277.0790640000002,187.16895500000018,206.1856559999999,434.28496699999977,294.3687950000005,335.23716,296.64300999999966,236.66665000000035,305.93416500000023,317.46513800000025,230.923434,254.04586899999998,199.75289899999981,129.12412400000002,298.497547,
"1982-02-01 00:00:00",175.93636199999975,288.3222210000001,188.07556500000004,215.56425300000004,330.54504800000035,245.1449529999999,328.27111500000007,311.1981029999999,337.62756999999965,203.54265100000003,321.4070399999998,237.30016600000013,310.99855800000034,215.5661839999998,100.27852800000002,262.90661199999994,
"1982-03-01 00:00:00",110.6572749999999,206.2746989999997,173.03871499999988,183.1165510000001,261.5463400000001,249.51269100000002,206.2978400000001,315.39599600000014,302.03166600000014,124.218867,222.41100800000004,192.69584100000017,309.74425900000006,105.33567899999997,96.08397999999984,153.46413599999988,
"1982-04-01 00:00:00",179.55846600000035,299.21283699999964,245.30391199999966,280.32653799999986,267.7553470000001,309.88897699999956,323.2575379999994,345.9486799999994,301.37011399999943,208.89978000000013,330.8502929999999,269.65137199999987,359.8867990000001,206.2743080000001,125.30696800000007,321.40952500000014,
"1982-05-01 00:00:00",180.18318400000007,211.36655099999982,202.38752500000004,234.79732000000004,425.0801040000001,250.95374800000027,245.64753399999975,240.9727060000002,126.91306600000003,115.69809500000018,308.41441999999995,196.80200099999996,314.5821370000002,172.26494200000008,117.39139199999993,268.95969699999995,
"1982-06-01 00:00:00",116.53735099999996,164.02796099999998,119.57639599999993,158.79568299999997,226.33534100000003,296.6115390000002,181.49596699999995,204.524516,182.32483400000015,115.69306600000004,194.24670299999977,139.24571100000006,207.6641520000002,110.00203699999997,64.42379800000013,234.18887500000014,
"1982-07-01 00:00:00",120.74042199999987,156.10201799999996,97.3590019999999,124.11594899999987,217.18313599999982,207.26559799999998,195.75745199999986,154.09262000000007,122.98302799999996,88.13306399999996,203.0843389999999,123.9880290000001,180.44173600000013,126.13452900000016,94.24601599999987,144.60549999999992,
"1982-08-01 00:00:00",88.17398600000004,179.51958900000002,111.74824200000002,125.65255600000006,215.6115699999997,216.54044899999985,179.170715,170.73770499999995,108.11475100000003,99.00013299999979,209.88684899999993,150.2888970000001,235.39358400000015,95.07844800000001,113.48116799999994,151.07512200000028,
"1982-09-01 00:00:00",75.70836999999993,208.07806500000012,187.21786899999992,193.88189400000007,266.5555279999999,217.28563100000017,183.96033799999998,271.311119,221.75664999999972,83.39860300000005,199.05033100000017,197.90012700000034,224.25487800000008,98.15982900000007,60.82407799999998,283.08138199999996,
"1982-10-01 00:00:00",57.386495999999994,163.36568000000005,162.0989210000001,235.40153899999999,218.51040600000007,263.9025210000002,173.36261400000012,279.15069700000004,202.01864300000005,78.52967899999996,175.79468299999988,158.633873,323.9638720000002,87.29364700000002,39.60637299999994,303.7492889999996,
"1982-11-01 00:00:00",128.11956699999985,234.89982100000012,161.00524000000019,226.22281099999992,282.1141039999997,231.82627499999992,246.053682,311.14864900000015,288.03089599999964,160.41858600000012,244.46853000000007,196.99341099999978,335.90307499999994,162.39980100000005,104.0533870000001,297.116997,
"1982-12-01 00:00:00",124.67802300000005,369.52479499999976,347.64410799999996,396.2563460000001,257.9272730000001,316.995693,343.1470310000001,406.69689600000015,344.77545699999996,175.24036400000014,322.054695,348.44487300000014,414.17704000000015,172.46907699999994,66.66774999999997,445.2769670000002,
"1983-01-01 00:00:00",189.32461499999997,324.6077659999998,300.9209720000001,313.8251539999999,340.26937600000014,338.2807209999997,317.0270169999999,365.05456600000014,328.3770239999998,211.38085500000003,299.0095029999997,308.3555340000001,352.3531360000001,193.27909999999997,125.92003800000005,363.5546560000002,
"1983-02-01 00:00:00",348.1138110000002,499.1379659999996,501.5323420000001,540.3661139999996,249.65639299999992,336.20063900000014,382.5221130000007,563.3325470000002,464.88806100000016,186.74810399999998,449.914766,478.587335,504.1444990000005,375.2230540000002,178.91687299999984,517.0998170000001,
"1983-03-01 00:00:00",148.69362199999998,288.1800069999999,167.22265100000013,181.35330199999993,277.5729180000003,230.74135099999984,324.86766000000006,274.408091,293.44517799999994,201.97923999999995,322.7374310000002,228.61790400000015,243.88025100000007,154.17946399999994,143.2227100000001,242.46968399999972,
"1983-04-01 00:00:00",169.05136800000014,276.58535899999964,245.50839099999982,272.79749600000014,265.84020899999973,221.55131200000005,240.76833399999987,361.77055200000007,267.1835529999998,188.67607700000005,276.67138400000005,252.44398799999993,316.33193900000026,226.69071000000025,212.2644710000001,323.1540749999998,
"1983-05-01 00:00:00",146.44935199999995,212.34193800000017,146.30932299999992,168.0612,348.66731699999997,209.82654100000002,258.4237300000002,210.59400999999986,156.57037999999991,144.08732699999993,265.4803009999994,174.97128599999988,183.67832000000004,149.69925700000007,88.66103299999993,252.41841600000006,
"1983-06-01 00:00:00",118.91118499999995,213.84564799999993,136.107238,139.939991,332.39141199999995,186.5368939999999,250.5495639999998,208.56185400000012,182.01948899999985,123.803872,268.9253729999997,177.743183,200.0719909999998,115.49951700000011,110.32326399999995,226.62656300000015,
"1983-07-01 00:00:00",79.22875099999992,177.93404300000003,130.0168029999999,192.69355400000015,296.85248200000024,204.73892699999988,165.99810800000012,203.96011199999992,138.46012999999977,105.34856199999999,197.14622599999996,152.588603,255.42951199999993,117.40799199999992,69.68213599999996,207.11455299999994,
"1983-08-01 00:00:00",77.34506099999993,120.065306,96.91489200000005,186.7094160000001,241.70679099999992,211.0032160000001,145.99118600000008,132.57720499999994,66.44306900000011,91.58241800000009,139.75142200000002,102.24732800000004,226.13335899999998,128.11774000000017,127.10312400000001,232.13667899999953,
"1983-09-01 00:00:00",114.67975800000004,151.09785499999984,102.6033459999999,150.31676499999983,283.71484999999973,251.16604000000015,173.8541749999997,143.592286,92.20782400000009,101.43876200000005,205.98397799999984,124.63893199999995,240.224004,97.09192200000001,95.38285000000005,195.3170210000001,
"1983-10-01 00:00:00",126.23915199999993,315.283162,272.66004400000014,304.10679999999996,190.8329929999999,307.26141800000016,284.7442219999996,338.27899399999984,273.60149199999995,128.514142,321.5904519999996,287.55117599999977,305.8509930000001,162.74536800000013,87.15666200000005,387.01422099999945,
"1983-11-01 00:00:00",140.78524099999987,347.0626000000002,376.0276809999995,465.0214190000007,217.22715799999986,359.35557900000015,288.8478590000001,438.82608199999964,350.954418,104.60704599999995,327.6108040000001,340.18764700000025,450.72880699999956,213.451416,89.21626500000009,514.674839,
"1983-12-01 00:00:00",153.48622100000009,200.91534299999984,193.31557500000017,232.8264069999998,230.35367299999993,323.651433,248.92607000000015,249.11480200000003,181.72431299999997,124.97884299999987,216.95875699999985,190.4425139999999,307.51857999999964,210.22816100000003,85.93563400000008,321.6646250000001,
