time,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK
2010-07-01 00:00:00,150.81300000000016,123.7089999999999,130.05299999999997,151.85700000000006,133.94400000000002,128.07799999999997,159.9739999999998,139.7860000000001,147.87300000000002,142.88100000000017,134.346,164.26800000000003,99.23299999999996,143.15900000000002,135.34600000000006,165.20800000000003,150.29400000000004,136.87000000000012,131.73200000000003,161.0509999999999,131.006,156.24299999999997,124.5300000000001,141.31700000000006,149.19099999999995,146.54,175.9939999999999,154.4360000000001,134.108,141.39899999999994,176.01099999999985,133.712,135.42500000000007,139.80000000000015,152.43600000000006,129.49899999999994,
2010-08-01 00:00:00,170.07499999999982,147.17099999999985,158.8369999999999,150.46800000000016,155.0679999999998,161.24199999999996,181.3000000000001,149.468,154.73799999999994,145.12800000000007,159.73699999999994,190.41100000000029,100.91500000000002,161.38300000000015,114.15100000000007,185.82600000000005,169.34499999999994,159.4919999999998,113.29400000000012,183.15599999999992,152.3040000000001,154.39599999999993,152.832,163.79500000000007,174.0549999999999,165.36299999999994,191.47199999999995,154.30999999999992,114.89900000000009,144.045,197.85699999999994,151.76700000000017,161.52000000000004,128.93400000000003,163.01899999999995,149.01199999999992,
2010-09-01 00:00:00,176.82699999999988,113.84999999999991,159.27100000000016,104.12400000000005,163.84199999999984,118.32299999999998,172.93299999999988,114.099,101.50699999999998,103.92800000000001,109.17600000000004,174.2699999999999,72.71500000000002,135.26299999999995,101.55500000000005,182.36200000000002,157.29000000000002,146.32500000000005,114.63100000000011,161.3819999999999,121.67199999999991,106.3689999999999,113.03999999999996,151.39799999999974,176.76499999999996,169.76399999999992,185.43899999999988,102.97500000000001,90.161,115.55299999999995,179.42700000000013,152.08299999999986,159.54400000000012,89.87100000000011,134.64200000000002,128.487,
2010-10-01 00:00:00,120.40899999999995,92.98300000000008,100.39300000000006,94.11399999999995,121.47999999999999,113.66799999999999,156.31700000000018,90.45399999999994,87.84600000000005,84.65499999999997,60.92299999999999,141.6730000000001,40.29200000000004,117.9989999999999,76.03300000000003,130.34900000000005,100.65699999999993,89.25099999999999,77.83999999999999,121.8740000000001,79.40199999999999,101.43300000000006,72.51100000000005,103.84000000000003,121.61399999999998,120.6480000000001,147.53799999999998,81.75899999999999,77.84900000000005,83.73099999999995,147.89399999999995,102.89099999999999,108.94900000000003,75.57600000000001,91.376,81.529,
2010-11-01 00:00:00,87.28699999999998,70.33000000000004,72.87000000000003,66.74600000000005,67.16499999999996,71.61299999999991,121.7070000000001,74.46000000000001,67.49199999999998,52.57800000000005,46.649000000000065,115.40400000000004,23.30699999999999,82.9150000000001,50.97700000000002,80.31299999999999,73.15199999999996,87.83100000000005,57.312999999999974,84.00199999999995,67.44500000000006,74.30700000000004,53.809999999999974,73.686,78.61800000000001,70.66799999999994,116.27800000000003,60.34199999999996,33.97900000000001,80.22100000000005,111.13699999999997,76.66400000000003,70.08900000000001,42.31099999999999,65.12399999999995,82.84499999999996,
2010-12-01 00:00:00,64.85499999999993,38.139,58.73999999999996,28.625999999999987,73.68500000000007,43.149999999999984,120.54699999999997,29.306000000000004,25.365000000000002,18.72,8.867999999999997,80.63799999999999,2.804999999999995,41.891000000000034,25.37200000000001,81.14200000000002,46.867000000000004,48.237,29.672000000000004,51.681999999999995,16.06699999999999,23.613999999999997,12.723999999999997,45.205000000000055,57.07900000000001,74.36400000000002,83.99600000000011,24.311999999999987,7.961000000000001,23.457999999999995,80.60499999999998,53.239999999999995,70.26199999999999,9.922999999999995,40.20400000000003,36.635000000000026,
2011-01-01 00:00:00,48.763999999999974,29.13800000000001,34.594,15.011999999999995,47.287000000000056,23.48500000000001,95.86199999999994,22.526000000000007,16.631999999999998,5.795999999999992,0.043000000000000003,67.01199999999996,0.0,32.631,9.774,57.57300000000002,36.247999999999976,23.024999999999984,16.697000000000006,49.13299999999998,7.6959999999999935,15.959999999999996,2.772999999999991,22.620000000000005,38.52599999999999,52.58200000000002,88.23799999999996,14.180000000000003,0.0,16.60599999999999,61.242,28.372,34.48,0.6140000000000003,34.55700000000001,25.15,
2011-02-01 00:00:00,69.16000000000001,39.22300000000001,45.444999999999986,24.839000000000006,54.767999999999965,34.35199999999998,89.31799999999997,21.21,21.57499999999999,15.730000000000002,4.542999999999999,75.00200000000002,0.4270000000000001,46.027999999999984,19.366000000000003,68.18499999999997,42.745999999999995,35.793000000000006,29.102000000000018,60.13399999999998,11.461999999999996,27.369999999999987,7.003999999999998,23.573999999999998,56.989999999999974,58.538000000000025,104.416,24.910000000000004,2.545000000000001,16.46399999999999,71.35999999999997,31.223999999999986,42.32299999999997,4.731,45.42000000000002,33.38299999999998,
2011-03-01 00:00:00,84.89600000000006,64.844,62.693999999999996,33.99400000000002,67.58,57.044999999999966,100.23500000000007,56.309000000000005,45.31100000000002,22.108999999999977,50.24200000000001,100.28400000000005,24.77199999999999,57.004000000000026,27.079999999999995,72.01099999999998,69.07600000000001,57.91700000000002,36.919999999999995,82.22099999999998,55.186000000000014,37.71199999999998,58.268999999999956,45.827000000000034,78.02600000000002,74.66100000000002,103.82,36.282,19.340999999999994,43.79100000000001,97.31899999999999,52.40999999999997,50.559000000000005,28.502000000000013,66.96499999999999,62.918000000000006,
2011-04-01 00:00:00,116.583,108.62300000000006,93.38499999999995,108.69599999999998,99.472,100.88600000000001,140.45600000000007,111.07000000000001,106.05399999999995,78.462,77.94400000000007,115.64500000000005,56.72400000000003,109.99599999999997,75.10099999999998,111.12100000000008,104.07600000000002,110.80899999999997,91.27400000000007,110.45999999999992,80.54899999999998,121.74200000000002,83.06600000000006,106.46499999999999,107.31800000000007,110.02100000000004,152.00400000000005,101.49900000000001,57.90299999999996,96.81000000000004,119.71100000000008,100.06399999999995,94.672,82.788,108.734,112.80099999999999,
2011-05-01 00:00:00,142.68200000000002,130.55099999999996,128.39999999999998,142.63,120.95600000000002,155.26599999999993,136.599,128.68200000000007,139.00100000000015,134.93800000000013,117.72499999999992,151.4320000000001,69.19199999999998,154.897,121.87699999999997,138.0860000000001,140.086,139.37400000000005,118.81300000000002,149.04999999999995,121.02399999999994,148.11399999999992,123.55100000000012,120.42499999999998,135.36100000000008,127.91899999999995,158.20399999999995,143.921,100.46900000000005,121.58200000000008,153.456,123.637,128.235,111.72099999999996,141.16299999999998,127.42799999999997,
2011-06-01 00:00:00,147.523,153.57100000000017,140.23299999999992,165.09599999999992,146.12299999999985,157.74499999999983,158.2990000000002,161.56500000000005,157.723,140.12999999999988,143.54000000000002,167.1890000000001,91.71799999999996,167.99700000000004,123.12699999999995,161.68100000000007,166.49600000000015,167.01100000000002,118.6100000000001,172.8189999999999,139.15600000000012,176.30000000000004,136.9379999999999,162.09100000000012,149.20499999999998,143.01599999999993,183.15899999999993,149.34699999999975,119.72899999999994,150.3839999999999,172.71999999999994,148.24500000000006,142.66200000000006,132.1370000000001,173.68500000000003,162.29899999999998,
2011-07-01 00:00:00,162.68799999999996,120.39299999999992,151.5289999999999,131.70900000000003,155.11900000000006,125.03100000000012,169.3260000000001,140.6969999999999,131.91799999999992,144.31999999999988,157.36800000000002,178.37599999999995,97.86500000000004,138.86900000000009,120.323,179.40100000000018,160.208,153.19600000000003,125.23100000000004,159.14899999999994,155.88400000000001,131.14499999999998,150.79599999999985,150.88799999999983,173.29999999999993,161.78699999999992,177.50800000000007,127.38000000000012,108.85600000000014,143.68700000000013,189.20199999999997,149.76599999999996,155.07999999999987,134.44300000000007,143.65200000000002,133.32700000000008,
2011-08-01 00:00:00,175.17499999999998,116.56399999999994,150.13899999999987,114.70300000000006,168.27300000000008,137.5030000000001,185.461,119.74999999999996,114.45400000000008,115.3339999999999,138.336,186.31799999999978,89.097,140.45699999999997,121.88899999999994,197.5879999999999,160.46899999999994,136.83100000000005,109.59800000000016,171.853,124.13300000000001,114.83099999999996,132.73799999999997,163.55199999999988,173.35500000000002,174.23599999999996,185.92900000000003,114.35800000000002,103.98899999999996,106.05199999999996,193.85499999999996,152.00100000000012,158.45999999999984,115.43200000000007,144.61499999999984,118.94900000000001,
2011-09-01 00:00:00,175.06500000000005,141.436,165.76599999999996,113.22699999999992,165.79899999999992,154.28899999999993,176.29499999999987,135.35900000000007,120.8270000000001,105.01600000000009,117.42599999999996,172.76999999999998,68.63899999999997,139.82200000000006,99.21799999999993,183.34,173.78499999999977,167.17999999999998,106.01500000000004,174.77899999999997,124.58299999999997,124.12899999999998,116.85500000000005,170.5080000000001,173.46700000000007,170.34300000000002,185.6399999999999,108.49400000000004,93.41400000000009,133.85899999999987,166.76199999999997,164.129,169.08000000000007,99.79399999999995,164.58200000000014,152.64200000000008,
2011-10-01 00:00:00,144.42800000000003,113.79,132.95400000000012,99.24000000000004,138.12599999999995,123.07899999999995,151.0980000000001,112.44000000000001,105.46,79.23400000000001,68.91600000000001,151.43499999999992,36.56200000000001,120.40400000000002,77.34799999999997,148.45899999999995,136.365,138.02899999999988,68.95200000000001,134.31400000000016,84.162,111.47299999999997,73.31600000000005,135.2300000000001,139.66000000000008,137.96200000000002,154.9890000000001,96.028,57.465,106.71299999999992,151.95900000000006,134.97100000000012,135.69499999999996,68.25799999999998,131.88299999999998,128.09400000000005,
2011-11-01 00:00:00,118.38500000000003,82.24499999999999,89.93699999999995,70.482,86.85199999999996,86.494,125.99199999999996,66.84299999999992,74.22800000000004,57.337000000000025,39.48900000000001,126.59299999999999,21.18199999999998,87.38500000000003,44.27500000000001,103.16899999999998,85.15500000000006,91.05999999999992,36.925000000000004,105.18200000000002,53.235,71.24,45.757000000000055,96.45600000000006,106.20600000000006,100.15700000000002,122.50700000000015,67.306,28.53300000000001,65.117,130.79100000000003,93.94300000000005,97.42799999999998,44.05600000000008,82.26100000000014,77.11799999999998,
2011-12-01 00:00:00,100.99199999999998,68.09100000000005,72.46800000000007,44.262,78.15000000000003,66.029,108.95900000000005,40.011,45.42599999999999,14.720999999999997,10.990999999999996,71.94999999999996,1.883999999999998,53.19799999999998,24.508000000000028,82.7690000000001,60.436999999999976,58.60100000000003,29.497999999999994,72.84200000000003,20.029,37.83900000000001,14.552999999999995,49.482000000000006,91.218,83.09899999999999,84.74499999999999,41.145,9.083999999999987,42.11800000000001,74.85200000000002,67.00699999999998,76.05200000000004,8.021999999999995,60.962999999999994,58.24600000000003,
2012-01-01 00:00:00,51.68400000000006,26.361000000000008,40.953,18.37399999999999,51.83099999999998,20.275000000000016,102.12400000000004,22.993999999999996,16.223000000000003,8.589999999999998,0.032,80.53400000000003,0.0,35.215999999999994,13.401000000000009,60.84000000000001,39.59300000000002,29.145999999999983,15.448,57.403000000000056,6.964000000000003,17.513,2.3569999999999927,28.924000000000003,40.45899999999999,46.38,86.11200000000002,18.621999999999982,0.0,17.298999999999992,79.59099999999998,36.628000000000014,39.52200000000002,0.5530000000000003,35.48800000000003,22.114000000000004,
2012-02-01 00:00:00,85.109,43.50199999999999,53.458,23.174999999999994,50.326000000000015,33.71199999999998,84.86100000000003,33.20900000000002,26.142000000000007,16.686,8.387,95.11400000000002,0.7540000000000003,43.96700000000001,21.25800000000001,77.36900000000001,64.763,55.17799999999998,18.597,73.67599999999999,14.949000000000005,25.230999999999998,12.674999999999999,36.53700000000002,65.61100000000002,54.173999999999985,91.58499999999997,26.977999999999998,0.9300000000000005,23.572999999999983,102.04499999999997,43.86299999999999,39.82599999999999,3.0099999999999985,68.54599999999998,43.26199999999999,
2012-03-01 00:00:00,64.207,62.03800000000003,58.082999999999984,48.10400000000004,59.24,52.636,115.45799999999991,57.237,46.05300000000001,32.32300000000001,37.58099999999999,120.38300000000004,14.186,74.15400000000004,33.265,64.872,63.405,52.62099999999997,29.905999999999988,72.85699999999999,42.701999999999956,56.80500000000004,43.761999999999986,44.00400000000002,63.59699999999991,57.657999999999994,107.47200000000007,40.96700000000003,18.57,44.141000000000005,134.22999999999988,58.34800000000001,49.23900000000003,26.69999999999999,71.10499999999996,66.72200000000004,
2012-04-01 00:00:00,136.64100000000002,113.25100000000005,133.35999999999996,95.03400000000003,123.745,113.83500000000002,145.6519999999999,107.90199999999992,95.61800000000001,87.85600000000001,62.942000000000036,153.79300000000003,50.83500000000002,125.40200000000003,83.39499999999997,130.2830000000001,137.96199999999996,136.67700000000005,72.96099999999997,140.717,76.46800000000002,106.19800000000001,68.00500000000001,94.71199999999995,126.52700000000016,124.096,150.42899999999997,87.97099999999999,58.659999999999975,97.59200000000006,149.57500000000007,116.88100000000001,128.07300000000004,79.48300000000006,137.47000000000008,118.91100000000007,
2012-05-01 00:00:00,108.11400000000002,115.91500000000013,107.3380000000001,102.80000000000004,134.847,101.35999999999993,158.38700000000003,122.24200000000012,108.10299999999997,106.82600000000002,101.428,130.0050000000001,57.96700000000004,110.20599999999996,93.35600000000002,142.899,120.08200000000001,128.028,108.43900000000002,123.7190000000001,122.48,109.78899999999999,113.81000000000003,130.36600000000004,105.25300000000001,121.671,172.34299999999976,102.31199999999993,95.70499999999997,115.748,120.41700000000009,123.20100000000012,121.49899999999992,97.76100000000008,114.262,123.6000000000001,
2012-06-01 00:00:00,147.4470000000001,141.98499999999984,135.27100000000002,133.41599999999994,129.7920000000001,145.068,160.2439999999999,157.5439999999999,147.05799999999996,145.87700000000007,154.7289999999999,174.427,100.029,146.65899999999996,128.2180000000001,162.3250000000001,152.35000000000008,153.2690000000001,119.19900000000017,162.74899999999997,158.35599999999997,143.643,149.58700000000005,154.02400000000003,148.97600000000003,140.42799999999994,188.42000000000007,136.82799999999992,125.43100000000021,149.86099999999985,165.45900000000012,132.69800000000015,134.37700000000007,132.87000000000003,154.116,153.79299999999998,
2012-07-01 00:00:00,188.39700000000005,135.6850000000001,169.961,117.66100000000004,182.65399999999997,140.31499999999994,178.26500000000004,134.92599999999993,122.77900000000002,123.47500000000011,138.14300000000003,178.04700000000014,85.80800000000012,140.8560000000001,104.18400000000005,198.47800000000004,173.6890000000002,157.76600000000008,105.66000000000011,176.35099999999986,134.94300000000004,114.15,137.34199999999993,175.20899999999997,195.50499999999988,188.46299999999997,187.71499999999986,118.58200000000014,121.11500000000008,121.76799999999997,173.85900000000004,169.1439999999999,182.81799999999998,124.35000000000022,153.63699999999977,134.24499999999995,
2012-08-01 00:00:00,186.29700000000005,127.08900000000006,167.786,133.8249999999999,183.9930000000001,148.253,176.86299999999997,134.39199999999994,131.0519999999999,135.368,138.68299999999985,192.48000000000008,85.64100000000002,153.28200000000007,110.78700000000005,196.715,175.992,163.37300000000016,107.05800000000006,181.29299999999995,141.9390000000002,140.71800000000013,135.20299999999995,179.597,189.51600000000008,185.58099999999988,188.97499999999997,131.10799999999995,104.48699999999995,140.34299999999993,197.8849999999999,173.14200000000005,179.137,118.05800000000009,161.07699999999994,142.2990000000001,
2012-09-01 00:00:00,174.25199999999987,139.02800000000002,174.57199999999975,135.489,164.35099999999989,149.506,172.17600000000002,139.74,132.84599999999995,121.97599999999997,102.76200000000016,176.89799999999997,68.48600000000003,148.29300000000012,100.54699999999997,178.86500000000007,174.6169999999999,164.6050000000001,102.89400000000005,172.08600000000007,108.25300000000004,142.72500000000005,98.53299999999993,145.3740000000001,178.88000000000008,168.73400000000004,183.30500000000012,134.87899999999993,96.85700000000004,121.53299999999996,181.89100000000025,156.33099999999993,172.62599999999992,98.58100000000002,162.68500000000003,148.83600000000018,
2012-10-01 00:00:00,138.93399999999986,100.56399999999998,116.851,98.98199999999997,134.81899999999996,106.38899999999997,161.92,104.85200000000006,98.46100000000008,74.87200000000004,63.02700000000001,138.11500000000004,37.036000000000016,113.16700000000007,81.89299999999999,145.1860000000001,108.93500000000004,116.39899999999999,83.25099999999998,117.84800000000006,78.26399999999995,108.39400000000009,70.70999999999998,132.89999999999998,130.076,131.50299999999996,159.76900000000012,93.15599999999999,62.69999999999994,96.01500000000007,144.4719999999999,126.7180000000002,127.51799999999996,67.33500000000006,100.63200000000008,104.37800000000004,
2012-11-01 00:00:00,108.679,73.33299999999994,89.61800000000014,60.815000000000005,105.454,69.95000000000002,125.24900000000008,63.50200000000008,64.769,44.419999999999995,28.061999999999994,109.03000000000004,15.283999999999992,71.49699999999999,49.946000000000005,108.47000000000001,83.7779999999999,85.02099999999999,52.235000000000014,92.58699999999989,43.15800000000002,70.20800000000001,34.572000000000024,77.16600000000001,102.38299999999998,108.40400000000002,124.416,57.996999999999986,30.41000000000001,61.11699999999999,107.22199999999997,88.8549999999999,94.43800000000005,31.706999999999987,73.88200000000005,70.93200000000007,
2012-12-01 00:00:00,74.64599999999996,41.77200000000007,50.560999999999986,27.953999999999986,56.729999999999976,42.96899999999999,102.14200000000001,27.92999999999997,27.90099999999999,16.224999999999998,8.267,68.94900000000001,2.268999999999998,46.53100000000001,25.447999999999997,68.519,41.401,44.08000000000002,30.913999999999998,58.785000000000025,12.004999999999985,27.338000000000022,9.685999999999991,39.611999999999995,61.35599999999999,58.25500000000004,96.077,26.993,4.145000000000005,23.58,72.287,53.70400000000002,55.64100000000001,6.744000000000002,34.49799999999999,32.33699999999999,
2013-01-01 00:00:00,51.14800000000001,31.610000000000003,37.041,15.309000000000005,41.22000000000002,23.96699999999999,87.84099999999998,22.104999999999993,16.91,5.452999999999994,0.03900000000000001,73.63000000000008,0.0,36.74699999999998,14.732000000000006,57.005999999999986,38.21400000000004,30.017000000000017,18.398000000000003,55.396000000000036,8.344999999999995,19.487000000000005,2.5889999999999915,17.00299999999999,43.58299999999999,43.02900000000002,94.88900000000005,15.387999999999991,0.0,15.776,65.635,27.403000000000002,29.848000000000013,0.3350000000000002,38.44599999999999,27.887000000000004,
